2021-07-09 00:48:01,844 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780881.8429015, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:48:01,973 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780881.9708257, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:48:02,060 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780882.0587676, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:48:02,177 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780882.1747, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:48:02,241 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780882.238978, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:48:02,397 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780882.3950765, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:48:02,488 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780882.485511, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:48:09,940 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780889.9382086, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:48:10,022 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780890.020159, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:48:10,067 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780890.0641348, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:48:10,123 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780890.1210957, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:48:10,307 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780890.304981, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:48:10,331 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780890.3289669, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:48:10,497 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780890.4958649, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:48:10,523 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780890.5218477, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:48:10,769 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780890.7676969, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:48:10,785 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780890.7836843, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
2021-07-09 00:48:12,342 DEBUG      server logs_decorator.py функция: handle_message, с параметрами: ({'action': 'presence', 'time': 1625780892.341235, 'user': {'account_name': 'Guest'}},), {}, вызвана из функции: run_server.
